cohort_month,month_number,active_customers,cohort_customers,orders,cohort_gmv,cumulative_gmv,cumulative_gmv_per_cohort_customer
2016-09-01,0,1,1,1,,,
2016-10-01,0,262,262,265,46566.71,46566.71,177.73553435114505
2016-10-01,6,1,262,1,111.3,46678.01,178.16034351145038
2016-10-01,9,1,262,1,356.13,47034.14,179.51961832061068
2016-10-01,11,1,262,1,56.78,47090.92,179.7363358778626
2016-10-01,13,1,262,1,163.53,47254.45,180.3604961832061
2016-10-01,15,1,262,1,381.0,47635.45,181.81469465648857
2016-10-01,17,1,262,1,116.57,47752.02,182.25961832061068
2016-10-01,19,2,262,2,384.0100000000001,48136.03,183.72530534351145
2016-10-01,20,2,262,2,181.37,48317.4,184.4175572519084
2016-12-01,0,1,1,1,19.62,19.62,19.62
2016-12-01,1,1,1,1,19.62,39.24,39.24
2017-01-01,0,717,717,749,127526.05000000002,127526.05000000002,177.86059972106
2017-01-01,1,2,717,2,111.07,127637.12000000002,178.01550906555093
2017-01-01,2,2,717,2,114.7,127751.82000000002,178.17548117154814
2017-01-01,3,1,717,1,89.7,127841.52000000002,178.3005857740586
2017-01-01,4,3,717,3,246.25,128087.77000000002,178.6440306834031
2017-01-01,5,1,717,1,69.33,128157.10000000002,178.74072524407256
2017-01-01,6,3,717,3,448.43,128605.53,179.36615062761507
2017-01-01,7,1,717,1,105.17,128710.7,179.51283124128315
2017-01-01,8,1,717,1,47.05,128757.75,179.5784518828452
2017-01-01,10,3,717,3,427.05,129184.80000000002,180.17405857740587
2017-01-01,11,1,717,1,66.6,129251.40000000002,180.2669456066946
2017-01-01,12,5,717,5,552.4499999999999,129803.85000000002,181.0374476987448
2017-01-01,13,3,717,3,351.65,130155.5,181.52789400278945
2017-01-01,14,1,717,1,93.7,130249.2,181.65857740585776
2017-01-01,15,1,717,1,104.61,130353.81,181.8044769874477
2017-01-01,16,2,717,2,219.35,130573.16000000002,182.11040446304048
2017-01-01,17,3,717,3,354.43,130927.59,182.6047280334728
2017-01-01,19,1,717,1,50.93,130978.52,182.675760111576
2017-02-01,0,1628,1628,1651,271187.5799999999,271187.5799999999,166.57713759213752
2017-02-01,1,3,1628,3,481.6799999999999,271669.2599999999,166.87300982800977
2017-02-01,2,5,1628,5,570.6300000000001,272239.8899999999,167.2235196560196
2017-02-01,3,2,1628,2,118.73,272358.6199999999,167.29644963144955
2017-02-01,4,7,1628,7,1151.96,273510.5799999999,168.00404176904172
2017-02-01,5,2,1628,2,74.21000000000001,273584.7899999999,168.04962530712527
2017-02-01,6,4,1628,4,688.9200000000001,274273.7099999999,168.47279484029477
2017-02-01,7,3,1628,3,274.3,274548.0099999999,168.6412837837837
2017-02-01,8,2,1628,2,464.61,275012.6199999999,168.9266707616707
2017-02-01,9,3,1628,3,385.35,275397.96999999986,169.16337223587217
2017-02-01,10,2,1628,2,343.22,275741.1899999998,169.37419533169523
2017-02-01,11,5,1628,5,454.39,276195.57999999984,169.65330466830457
2017-02-01,12,2,1628,2,279.24,276474.81999999983,169.8248280098279
2017-02-01,13,3,1628,3,397.11,276871.9299999998,170.06875307125296
2017-02-01,14,2,1628,2,181.66,277053.5899999998,170.1803378378377
2017-02-01,15,1,1628,1,136.79,277190.3799999998,170.26436117936103
2017-02-01,16,1,1628,1,291.68,277482.05999999976,170.44352579852566
2017-02-01,17,3,1628,3,369.65,277851.7099999998,170.6705835380834
2017-03-01,0,2503,2503,2541,413773.0099999997,413773.0099999997,165.31083100279653
2017-03-01,1,11,2503,12,1623.63,415396.6399999997,165.9595045944865
