month,orders,customers,gmv,aov,avg_review_score
2016-09-01,1,1,,,1.0
2016-10-01,265,262,46566.71,175.72343396226415,4.011450381679389
2016-12-01,1,1,19.62,19.62,5.0
2017-01-01,750,718,127545.67,170.06089333333333,4.199055330634278
2017-02-01,1653,1630,271298.6499999999,164.12501512401687,4.202678027997566
2017-03-01,2546,2508,414369.38999999984,162.7530989787902,4.187376335575782
2017-04-01,2303,2274,390952.1799999997,169.75778549717745,4.137554585152839
2017-05-01,3546,3479,567066.7299999996,159.9172955442751,4.238487777146106
2017-06-01,3135,3076,490225.59999999986,156.37180223285483,4.222918675666988
2017-07-01,3872,3802,566403.9299999996,146.28200671487593,4.258415755682805
2017-08-01,4193,4114,646000.6099999998,154.06644645838296,4.3115246098439375
2017-09-01,4150,4083,701169.9899999998,168.9566240963855,4.267484215638659
2017-10-01,4478,4417,751140.2699999999,167.74012282268868,4.205240665766982
2017-11-01,7289,7183,1153528.0499999996,158.25600905473996,3.988878143133462
2017-12-01,5513,5450,843199.17,152.94742789769637,4.0895440395531955
2018-01-01,7069,6974,1078606.8599999994,152.58266515773084,4.108726650506203
2018-02-01,6555,6400,966510.8799999992,147.44635850495794,3.881717125147277
2018-03-01,7003,6914,1120678.0000000007,160.02827359702994,3.813255613126079
2018-04-01,6798,6744,1132933.9500000004,166.6569505736982,4.2062351895734595
2018-05-01,6749,6693,1128836.6900000004,167.25984442139583,4.236239214519488
2018-06-01,6099,6061,1012090.6800000004,165.94370880472212,4.306995884773663
2018-07-01,6159,6100,1027903.86,166.89460301997076,4.318085280182976
2018-08-01,6351,6310,985414.28,155.15891670603054,4.3103475513428124
