customer_state,orders,customers,gmv,aov,avg_delivery_days,avg_review_score
SP,40501,39156,5769703.149999883,142.45828868422714,8.662324239357464,4.178092824445118
RJ,12350,11917,2055401.5699999984,166.42927692307677,15.07417096797002,3.874218563588642
MG,11354,11001,1818891.6700000137,160.19831513123248,11.919324868380304,4.121472009979729
RS,5345,5168,861472.7899999965,161.173580916744,15.134518180335888,4.092313982011447
PR,4923,4769,781708.7999999981,158.78708104814098,11.893078420959462,4.146159317211949
SC,3546,3449,595127.7800000014,167.8307332205306,14.94630217232121,4.047255722372631
BA,3256,3158,591137.8100000013,181.55338144963187,19.19250610915015,3.861331871745684
DF,2080,2019,346123.3499999999,166.4054567307692,12.89384288747346,4.060094097519247
GO,1957,1895,334212.3500000007,170.77789984670449,15.335529205094424,4.0394736842105265
ES,1995,1928,317657.93000000017,159.22703258145373,15.587415730337078,4.014813126709207
PE,1593,1551,308972.05000000034,193.95608913998765,18.22451317296678,4.02025462962963
CE,1279,1258,266436.77,208.31647380766225,20.921458625525947,3.872445384073291
PA,946,922,212023.5699999999,224.1263953488371,23.702087286527515,3.838491295938105
MT,886,856,181224.41999999975,204.5422347629794,17.907425265188042,4.007309941520468
MA,717,700,147803.54999999996,206.14163179916312,21.59,3.7594458438287153
PB,517,504,137838.54999999984,266.6122823984523,20.546075085324233,4.037931034482758
MS,701,681,134367.54999999993,191.67981455064185,15.45992601726264,4.063658838071693
PI,476,464,105178.19,220.96258403361344,19.317399617590823,3.95945945945946
RN,474,464,100714.7800000001,212.4784388185656,19.272552783109404,4.112934362934363
AL,397,387,94172.49000000003,237.21030226700265,24.447306791569087,3.825471698113207
SE,335,329,70289.13000000003,209.8182985074628,21.418666666666667,3.8981233243967823
TO,274,267,60007.36999999998,219.0049999999999,17.39677419354839,4.155339805825243
RO,243,231,56966.00000000003,234.4279835390948,19.655677655677657,4.073529411764706
AM,145,140,27585.47,190.2446206896552,26.33742331288343,4.111111111111111
AC,80,76,19575.330000000005,244.69162500000007,20.68131868131868,4.131868131868132
AP,67,66,16141.81,240.92253731343283,28.22222222222222,4.2625
RR,41,40,9039.52,220.47609756097555,28.17391304347826,3.891304347826087
